brand,model,engine_oil_km,major_service_km,battery_years,tyre_rotation_km
Perodua,Myvi,5000,10000,2,10000
Perodua,Axia,5000,10000,2,10000
Perodua,Bezza,5000,10000,2,10000
Perodua,Alza,5000,10000,2,10000
Perodua,Aruz,5000,10000,2,10000
Perodua,Kancil,5000,10000,2,10000
Perodua,Viva,5000,10000,2,10000
Perodua,Ativa,5000,10000,2,10000
Perodua,Kenari,5000,10000,2,10000
Perodua,Rusa,6000,12000,2,12000

Proton,Saga,5000,10000,2,10000
Proton,Persona,5000,10000,2,10000
Proton,Iriz,5000,10000,2,10000
Proton,Exora,6000,12000,2,12000
Proton,X50,7000,15000,3,12000
Proton,X70,7000,15000,3,12000
Proton,Preve,5000,10000,2,10000
Proton,Satria,5000,10000,2,10000
Proton,Putra,6000,12000,2,12000
Proton,Inspira,7000,15000,3,12000

Toyota,Vios,7000,15000,3,12000
Toyota,Corolla Altis,7000,15000,3,12000
Toyota,Camry,8000,16000,3,14000
Toyota,Yaris,7000,15000,3,12000
Toyota,Hilux,8000,16000,3,15000
Toyota,Fortuner,8000,16000,3,15000
Toyota,Alphard,7000,15000,3,12000
Toyota,Vellfire,7000,15000,3,12000
Toyota,Rush,7000,15000,3,12000
Toyota,Avanza,7000,15000,3,12000
Toyota,Innova,8000,16000,3,14000
Toyota,Harrier,8000,16000,3,14000
Toyota,Prius,10000,20000,4,15000
Toyota,Land Cruiser,10000,20000,4,18000
Toyota,Hiace,9000,18000,3,16000

Honda,City,7000,15000,3,12000
Honda,Civic,8000,16000,3,14000
Honda,Accord,8000,16000,3,14000
Honda,HR-V,7000,15000,3,12000
Honda,CR-V,8000,16000,3,14000
Honda,BR-V,7000,15000,3,12000
Honda,Jazz,7000,15000,3,12000
Honda,Odyssey,8000,16000,3,14000
Honda,Stream,7000,15000,3,12000
Honda,Insight,10000,20000,4,15000

Nissan,Almera,7000,15000,3,12000
Nissan,X-Trail,8000,16000,3,14000
Nissan,Serena,8000,16000,3,14000
Nissan,Navara,9000,18000,3,16000
Nissan,Teana,8000,16000,3,14000
Nissan,March,7000,15000,3,12000
Nissan,Latio,7000,15000,3,12000
Nissan,GT-R,5000,10000,2,10000
Nissan,Elgrand,8000,16000,3,14000
Nissan,Juke,7000,15000,3,12000

Mazda,2,7000,15000,3,12000
Mazda,3,8000,16000,3,14000
Mazda,6,8000,16000,3,14000
Mazda,CX-3,8000,16000,3,14000
Mazda,CX-5,8000,16000,3,14000
Mazda,CX-8,9000,18000,3,16000
Mazda,MX-5,6000,12000,2,10000
Mazda,Tribute,8000,16000,3,14000
Mazda,BT-50,9000,18000,3,16000
Mazda,Premacy,8000,16000,3,14000

Mitsubishi,Xpander,7000,15000,3,12000
Mitsubishi,Triton,9000,18000,3,16000
Mitsubishi,Outlander,8000,16000,3,14000
Mitsubishi,Pajero Sport,9000,18000,3,16000
Mitsubishi,Lancer,8000,16000,3,14000
Mitsubishi,Attrage,7000,15000,3,12000
Mitsubishi,Mirage,7000,15000,3,12000
Mitsubishi,ASX,8000,16000,3,14000
Mitsubishi,Grandis,8000,16000,3,14000
Mitsubishi,Eclipse Cross,8000,16000,3,14000

BMW,320i,8000,16000,3,14000
BMW,330e,9000,18000,4,15000
BMW,X1,8000,16000,3,14000
BMW,X3,9000,18000,3,15000
BMW,X5,10000,20000,4,16000

Mercedes-Benz,C200,8000,16000,3,14000
Mercedes-Benz,E200,9000,18000,3,15000
Mercedes-Benz,S400,10000,20000,4,16000
Mercedes-Benz,GLA200,8000,16000,3,14000
Mercedes-Benz,GLC300,9000,18000,3,15000

Hyundai,Elantra,7000,15000,3,12000
Hyundai,Sonata,8000,16000,3,14000
Hyundai,Tucson,8000,16000,3,14000
Hyundai,Santa Fe,9000,18000,3,16000
Hyundai,Starex,9000,18000,3,16000

Kia,Cerato,7000,15000,3,12000
Kia,Optima,8000,16000,3,14000
Kia,Sportage,8000,16000,3,14000
Kia,Sorento,9000,18000,3,16000
Kia,Carnival,9000,18000,3,16000

Volkswagen,Polo,7000,15000,3,12000
Volkswagen,Golf,8000,16000,3,14000
Volkswagen,Passat,8000,16000,3,14000
Volkswagen,Tiguan,8000,16000,3,14000
Volkswagen,Multivan,9000,18000,3,16000
